Source_Node_ID,Target_Node_ID,Declarations,Reciprocal,Edge_Weight,Source_School,Source_Class
SCH-BPRESEC_1ARTS1_001,SCH-BPRESEC_1ARTS1_002,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_001,SCH-BPRESEC_1ARTS1_004,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_001,SCH-BPRESEC_1ARTS1_005,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_001,SCH-BPRESEC_1ARTS1_008,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_001,SCH-BPRESEC_1ARTS1_010,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_002,SCH-BPRESEC_1ARTS1_004,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_002,SCH-BPRESEC_1ARTS1_007,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_002,SCH-BPRESEC_1ARTS1_008,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_002,SCH-BPRESEC_1ARTS1_010,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_002,SCH-BPRESEC_1ARTS1_011,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_002,SCH-BPRESEC_1ARTS1_026,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_004,SCH-BPRESEC_1ARTS1_005,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_004,SCH-BPRESEC_1ARTS1_007,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_004,SCH-BPRESEC_1ARTS1_008,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_004,SCH-BPRESEC_1ARTS1_011,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_004,SCH-BPRESEC_1ARTS1_013,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_004,SCH-BPRESEC_1ARTS1_019,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_005,SCH-BPRESEC_1ARTS1_008,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_005,SCH-BPRESEC_1ARTS1_010,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_005,SCH-BPRESEC_1ARTS1_014,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_005,SCH-BPRESEC_1ARTS1_016,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_005,SCH-BPRESEC_1ARTS1_029,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_005,SCH-BPRESEC_1ARTS1_035,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_007,SCH-BPRESEC_1ARTS1_008,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_007,SCH-BPRESEC_1ARTS1_010,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_007,SCH-BPRESEC_1ARTS1_014,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_007,SCH-BPRESEC_1ARTS1_035,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_007,SCH-BPRESEC_1ARTS1_038,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_008,SCH-BPRESEC_1ARTS1_011,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_008,SCH-BPRESEC_1ARTS1_014,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_010,SCH-BPRESEC_1ARTS1_011,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_010,SCH-BPRESEC_1ARTS1_013,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_010,SCH-BPRESEC_1ARTS1_014,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_010,SCH-BPRESEC_1ARTS1_020,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_010,SCH-BPRESEC_1ARTS1_023,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_011,SCH-BPRESEC_1ARTS1_016,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_013,SCH-BPRESEC_1ARTS1_014,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_013,SCH-BPRESEC_1ARTS1_019,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_014,SCH-BPRESEC_1ARTS1_016,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_014,SCH-BPRESEC_1ARTS1_020,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_016,SCH-BPRESEC_1ARTS1_017,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_017,SCH-BPRESEC_1ARTS1_019,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_017,SCH-BPRESEC_1ARTS1_022,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_019,SCH-BPRESEC_1ARTS1_020,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_019,SCH-BPRESEC_1ARTS1_022,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_019,SCH-BPRESEC_1ARTS1_023,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_019,SCH-BPRESEC_1ARTS1_026,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_020,SCH-BPRESEC_1ARTS1_022,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_020,SCH-BPRESEC_1ARTS1_025,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_020,SCH-BPRESEC_1ARTS1_026,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_020,SCH-BPRESEC_1ARTS1_028,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_020,SCH-BPRESEC_1ARTS1_031,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_020,SCH-BPRESEC_1ARTS1_037,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_022,SCH-BPRESEC_1ARTS1_023,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_022,SCH-BPRESEC_1ARTS1_041,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_023,SCH-BPRESEC_1ARTS1_025,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_023,SCH-BPRESEC_1ARTS1_028,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_025,SCH-BPRESEC_1ARTS1_026,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_025,SCH-BPRESEC_1ARTS1_028,2,1,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_025,SCH-BPRESEC_1ARTS1_035,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_026,SCH-BPRESEC_1ARTS1_028,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_028,SCH-BPRESEC_1ARTS1_029,1,0,1.0,SCH-BPRESEC,1ARTS1
SCH-BPRESEC_1ARTS1_028,SCH-BPRESEC_1ARTS1_031,1,0,1.0,SCH-BPRESEC,1ARTS1
