Node_ID,Roster_Code,School_Code,Class_Code,Label_Available,Q1_Gender,Q2_Age,Q3_Form,Q4_SchoolType,Q5_Programme,Q6_Residence,Q7_ParentEdu,Q8_FinDifficulty,Q10_MathsScore,Q11_EnglishScore,Q12_CAScore,Q13_AssignRate,Q14_Repeated,Q15_DaysAttend,Q16_DaysMissed,Q17_Lateness,Q18_Belonging,Q19_EnjoyLearn,Q20_StudyOwnWill,Q21_CanPass,Q22_SetGoals,Q23_Confident,Q24_PlanContinue,Q25_TeachersCare,Q26_HasSupport,Q27_StudyHours,Q28_QuietPlace,Q29_OutsideWork,Q31_StudyFreq,Q32_TurnToFirst,Q33_StudyGroup,Q34_ExamConfidence,Q35_Interest,TARGET_AtRisk
SCH-PGIRLS_1HE1_001,001,SCH-PGIRLS,1HE1,1,Female,15,Form 1,Public,Home Economics,Boarding,SHS,Usually not a problem,49,62,50,9-10 out of 10,No,5,0,Never,Mostly belong,5,5,5,4,4,5,4,4,3-5 hrs/wk,Always,None,Almost every day,Manage alone,Sometimes informal,Very confident,Somewhat interested,0
SCH-PGIRLS_1HE1_002,002,SCH-PGIRLS,1HE1,1,Female,15,Form 1,Public,Home Economics,Boarding,Tertiary,Usually not a problem,26,53,45,6-8 out of 10,No,5,0,Sometimes,Mostly belong,5,5,5,5,4,5,4,3,0-2 hrs/wk,Always,None,Almost every day,No one,No,Very confident,Not at all,1
SCH-PGIRLS_1HE1_003,003,SCH-PGIRLS,1HE1,1,Female,15,Form 1,Public,Home Economics,Boarding,SHS,Sometimes difficult,40,50,49,6-8 out of 10,No,5,0,Never,Strongly belong,5,5,5,5,5,5,5,3,3-5 hrs/wk,Always,Heavy housework,Almost every day,A teacher,Regular group,Very confident,Somewhat interested,1
SCH-PGIRLS_1HE1_004,004,SCH-PGIRLS,1HE1,1,Female,16,Form 1,Public,Home Economics,Boarding,SHS,Very difficult,21,25,35,6-8 out of 10,No,5,0,Sometimes,Strongly belong,4,5,4,3,4,4,3,5,0-2 hrs/wk,Sometimes,Paid work,Almost every day,A classmate,Regular group,Very confident,Not very,1
SCH-PGIRLS_1HE1_005,005,SCH-PGIRLS,1HE1,1,Female,16,Form 1,Public,Home Economics,Boarding,Tertiary,Never a problem,21,3,35,6-8 out of 10,No,5,0,Never,Strongly belong,4,5,5,4,4,5,5,5,0-2 hrs/wk,Sometimes,Heavy housework,Almost every day,A classmate,No,Very confident,Very interested,1
SCH-PGIRLS_1HE1_006,006,SCH-PGIRLS,1HE1,1,Female,17,Form 1,Public,Home Economics,Boarding,Tertiary,Sometimes difficult,24,56,,9-10 out of 10,No,5,0,Never,Strongly belong,5,5,5,4,4,5,5,1,6-8 hrs/wk,Always,None,Almost every day,A teacher,Regular group,Very confident,Very interested,1
SCH-PGIRLS_1HE1_007,007,SCH-PGIRLS,1HE1,1,Female,15,Form 1,Public,Home Economics,Boarding,Tertiary,Never a problem,23,35,12,6-8 out of 10,No,5,0,Never,Strongly belong,3,5,5,4,4,5,5,5,0-2 hrs/wk,Always,Heavy housework,Almost every day,A classmate,Sometimes informal,Fairly confident,Somewhat interested,1
SCH-PGIRLS_1HE1_008,008,SCH-PGIRLS,1HE1,1,Female,17,Form 1,Public,Home Economics,Boarding,Tertiary,Never a problem,40,45,,6-8 out of 10,No,5,0,Never,Mostly belong,1,1,5,5,5,5,5,2,3-5 hrs/wk,Always,None,Almost every day,A teacher,Regular group,Very confident,Very interested,1
SCH-PGIRLS_1HE1_009,009,SCH-PGIRLS,1HE1,1,Female,15,Form 1,Public,Home Economics,Boarding,SHS,Never a problem,23,23,38,6-8 out of 10,No,5,0,Never,Mostly belong,1,1,4,1,3,5,5,5,6-8 hrs/wk,Always,None,Almost every day,No one,Regular group,Very confident,Very interested,1
SCH-PGIRLS_1HE1_010,010,SCH-PGIRLS,1HE1,1,Female,16,Form 1,Public,Home Economics,Boarding,Tertiary,Never a problem,40,70,55,6-8 out of 10,No,5,2,Never,Strongly belong,4,4,5,4,3,5,5,3,3-5 hrs/wk,Always,None,Almost every day,A classmate,No,Very confident,Very interested,0
